CVEGEO,ECO1_R,ECO4_R,ECO7_R,ECO10_R,ECO13_R,ECO16_R,ECO19_R,ECO22_R
1900200010264011,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264012,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0
1900200010264013,85.7,83.3,0.0,-6.0,-6.0,-6.0,0.0,0.0
1900200010264016,30.0,100.0,-6.0,0.0,0.0,-6.0,0.0,0.0
1900200010264017,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264018,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264020,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264022,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264023,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264024,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264025,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264026,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264027,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264028,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264029,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
